"Time (s)","Velocity (m/s)","Gyroscope y (rad/s)"
2.073686036E1,3.819366102E-5,6.944302004E-4
2.077754120E1,1.299547686E-5,2.362813975E-4
2.081821845E1,2.979426470E-5,5.417139037E-4
2.085886448E1,2.139486998E-5,3.889976360E-4
2.089952308E1,2.139487318E-5,3.889976942E-4
2.094017767E1,4.596082144E-6,8.356512990E-5
2.098083964E1,4.596082144E-6,8.356512990E-5
2.102150641E1,-3.803310974E-6,-6.915110862E-5
2.106216129E1,1.299547846E-5,2.362814266E-4
2.110283088E1,4.596082144E-6,8.356512990E-5
2.114351634E1,1.299547846E-5,2.362814266E-4
2.118417950E1,4.596082144E-6,8.356512990E-5
2.122484149E1,-3.803310974E-6,-6.915110862E-5
2.126549400E1,4.596083745E-6,8.356515900E-5
2.130615803E1,4.596083745E-6,8.356515900E-5
2.134683693E1,4.596082144E-6,8.356512990E-5
2.138749359E1,-3.803310974E-6,-6.915110862E-5
2.142815253E1,-2.060209561E-5,-3.745835565E-4
2.146879924E1,1.299547686E-5,2.362813975E-4
2.150946300E1,-3.803310974E-6,-6.915110862E-5
2.155015305E1,2.979426310E-5,5.417138746E-4
2.159080408E1,-1.220270249E-5,-2.218673180E-4
2.163146783E1,4.596082144E-6,8.356512990E-5
2.167211917E1,4.596082144E-6,8.356512990E-5
2.171277997E1,2.979426310E-5,5.417138746E-4
2.175343355E1,4.596083745E-6,8.356515900E-5
2.179409895E1,2.979426310E-5,5.417138746E-4
2.183478016E1,-1.220270409E-5,-2.218673471E-4
2.187543017E1,1.299547686E-5,2.362813975E-4
2.191607437E1,2.139487158E-5,3.889976651E-4
2.195673216E1,1.299547526E-5,2.362813684E-4
2.199740047E1,4.596083745E-6,8.356515900E-5
2.203805031E1,3.819365942E-5,6.944301713E-4
2.207870076E1,1.299547686E-5,2.362813975E-4
2.211935507E1,-3.803310974E-6,-6.915110862E-5
2.216003495E1,-3.803307773E-6,-6.915105041E-5
2.220069223E1,1.299547686E-5,2.362813975E-4
2.224135077E1,4.596082144E-6,8.356512990E-5
2.228201265E1,1.299547846E-5,2.362814266E-4
2.232266261E1,1.299548007E-5,2.362814557E-4
2.236331942E1,-2.060209721E-5,-3.745835857E-4
2.240397697E1,4.596082144E-6,8.356512990E-5
2.244463381E1,-3.803309373E-6,-6.915107951E-5
2.248530471E1,1.299547526E-5,2.362813684E-4
2.252596100E1,1.299547526E-5,2.362813684E-4
2.256662757E1,4.596082144E-6,8.356512990E-5
2.260729386E1,-1.220270409E-5,-2.218673471E-4
2.264794453E1,-2.060209721E-5,-3.745835857E-4
2.268860227E1,2.139486998E-5,3.889976360E-4
2.272925699E1,-1.220270409E-5,-2.218673471E-4
2.276988620E1,4.596083745E-6,8.356515900E-5
2.281054335E1,2.139486998E-5,3.889976360E-4
2.285118390E1,1.299547686E-5,2.362813975E-4
2.289184157E1,1.299548007E-5,2.362814557E-4
2.293250823E1,2.979426310E-5,5.417138746E-4
2.297316602E1,4.596082144E-6,8.356512990E-5
2.301382407E1,-3.803309373E-6,-6.915107951E-5
2.305449598E1,2.979426470E-5,5.417139037E-4
2.309515454E1,-4.580027657E-5,-8.327323012E-4
2.313582120E1,4.596085346E-6,8.356518811E-5
2.317650651E1,4.596085346E-6,8.356518811E-5
2.321716532E1,4.596082144E-6,8.356512990E-5
2.325783403E1,1.299547526E-5,2.362813684E-4
2.329849349E1,1.299547686E-5,2.362813975E-4
2.333915785E1,-2.900148873E-5,-5.272997951E-4
2.337981756E1,2.139486998E-5,3.889976360E-4
2.342050377E1,-3.803310974E-6,-6.915110862E-5
2.346116710E1,1.299547846E-5,2.362814266E-4
2.350182720E1,-3.803310974E-6,-6.915110862E-5
2.354248318E1,3.819365942E-5,6.944301713E-4
2.358314315E1,-3.803309373E-6,-6.915107951E-5
